prefix,TP,FP,FN,precision,recall
TRIAVA,812,1509,6999,0.3498492029297717,0.10395595954423249
TRIAVA,73,42,7738,0.6347826086956522,0.009345794392523364
TRIAVA,7,17,7804,0.2916666666666667,0.000896172065036487
TRIAVA,703,1253,7108,0.35940695296523517,0.0900012802458072
TRIAVA,761,1374,7050,0.35644028103044495,0.09742670592753809
TRIAVA,976,1384,6835,0.4135593220338983,0.12495199078223018
TRIAVA,1286,1074,6525,0.5449152542372881,0.16463961080527462
TRIAVA,1212,1109,6599,0.5221887117621715,0.15516579183203175
TRIAVA,804,1471,7007,0.3534065934065934,0.10293176289847651
TRIAVA,805,1425,7006,0.3609865470852018,0.103059787479196
TRIAVA,812,1483,6999,0.35381263616557734,0.10395595954423249
TRIAVA,811,1395,7000,0.3676337262012693,0.10382793496351299
TRIAVA,1952,369,5859,0.8410168031021111,0.24990398156446036
TRIAVA,1771,386,6040,0.8210477515067223,0.22673153245423122
TRIAVA,1936,339,5875,0.850989010989011,0.2478555882729484
TRIAVA,1919,244,5892,0.8871937124364309,0.24567917040071693